FID,roof,road,watr,conc,Veg,dry,irr,H,W
197,0.0048,0,0,0.3536,0.0496,0.592,0,0.02208,29.856
198,0.089230769,0,0,0.446153846,0.198461538,0.264615385,0.001538462,0.410461538,27.32307692
199,0.3984,0,0,0.2976,0.176,0.1248,0.0032,1.83264,18.048
200,0.088,0,0,0.328,0.3344,0.248,0.0016,0.4048,27.36
201,0.56,0,0,0.0432,0.1488,0.2448,0.0032,2.576,13.2
202,0,0,0,0.941538462,0.053846154,0.004615385,0,0,30
203,0.010769231,0,0,0.967692308,0.018461538,0.003076923,0,0.107692308,29.67692308
204,0.00591716,0,0,0.516272189,0.189349112,0.288461538,0,0.059171598,29.82248521
205,0.172307692,0,0,0.373846154,0.026153846,0.427692308,0,1.723076923,24.83076923
206,0.250769231,0,0,0.341538462,0.061538462,0.346153846,0,2.507692308,22.47692308
207,0.009230769,0,0.001538462,0.092307692,0.409230769,0.487692308,0,0.092307692,29.72307692
208,0,0,0,0.826153846,0.047692308,0.126153846,0,0,30
209,0.023668639,0,0.300295858,0.326923077,0.178994083,0.170118343,0,0.236686391,29.28994083
210,0.655384615,0,0,0.109230769,0.02,0.215384615,0,6.553846154,10.33846154
211,1,0,0,0,0,0,0,10,0
212,1,0,0,0,0,0,0,10,0
213,0.909763314,0,0,0.066568047,0.00147929,0.022189349,0,9.097633136,2.707100592
214,0.5,0,0,0.330769231,0.073846154,0.095384615,0,5,15
215,0.372307692,0,0,0.233846154,0.161538462,0.232307692,0,3.723076923,18.83076923
216,0.001538462,0,0.001538462,0.581538462,0.155384615,0.26,0,0.015384615,29.95384615
217,0.107692308,0,0.001538462,0.258461538,0.336923077,0.295384615,0,1.076923077,26.76923077
218,0.662721893,0,0,0.204142012,0.041420118,0.091715976,0,6.627218935,10.1183432
219,0.66,0,0,0.021538462,0.033846154,0.284615385,0,6.6,10.2
220,0.246153846,0,0,0.147692308,0.350769231,0.255384615,0,2.461538462,22.61538462
221,0.523076923,0,0,0.092307692,0.178461538,0.206153846,0,5.230769231,14.30769231
222,0.976923077,0,0,0.023076923,0,0,0,9.769230769,0.692307692
223,1,0,0,0,0,0,0,10,0
224,0.82,0,0,0.035384615,0.043076923,0.101538462,0,8.2,5.4
225,0.090769231,0,0,0.06,0.204615385,0.644615385,0,0.907692308,27.27692308
226,0.003076923,0,0,0.092307692,0.018461538,0.886153846,0,0.030769231,29.90769231
227,0.015384615,0,0,0.038461538,0.184615385,0.761538462,0,0.153846154,29.53846154
228,0,0,0,0.025147929,0.285502959,0.689349112,0,0,30
229,0,0,0.001538462,0.066153846,0.443076923,0.489230769,0,0,30
230,0,0,0.003076923,0.073846154,0.592307692,0.330769231,0,0,30
231,0,0,0,0.107692308,0.523076923,0.369230769,0,0,30
232,0,0,0.00443787,0.341715976,0.463017751,0.190828402,0,0,30
233,0,0,0.001538462,0.001538462,0.710769231,0.286153846,0,0,30
234,0,0,0,0,0.976923077,0.023076923,0,0,30
235,0,0,0,0.026153846,0.536923077,0.436923077,0,0,30
236,0,0,0,0.012307692,0.326153846,0.661538462,0,0,30
237,0,0,0,0.00887574,0.322485207,0.668639053,0,0,30
238,0,0,0,0.036923077,0.495384615,0.467692308,0,0,30
239,0,0,0,0.024615385,0.252307692,0.723076923,0,0,30
240,0,0,0,0.198461538,0.007692308,0.793846154,0,0,30
241,0,0,0,0.315384615,0.192307692,0.492307692,0,0,30
242,0,0,0,0.353550296,0.051775148,0.594674556,0,0,30
243,0,0,0,0.484615385,0.138461538,0.376923077,0,0,30
244,0,0,0,0.56,0.198461538,0.241538462,0,0,30
245,0,0,0,0.543076923,0.36,0.096923077,0,0,30
246,0,0,0,0.406153846,0.293846154,0.3,0,0,30
247,0,0,0.00739645,0.186390533,0.399408284,0.406804734,0,0,30
248,0,0,0.003076923,0.167692308,0.621538462,0.207692308,0,0,30
249,0,0,0.010769231,0.087692308,0.675384615,0.226153846,0,0,30
250,0,0,0.012307692,0.010769231,0.676923077,0.3,0,0,30
251,0,0,0.01183432,0.053254438,0.718934911,0.215976331,0,0,30
252,0,0,0.010769231,0.036923077,0.630769231,0.321538462,0,0,30
253,0.004615385,0,0.015384615,0.073846154,0.613846154,0.292307692,0,0.046153846,29.86153846
254,0.173846154,0,0,0.130769231,0.532307692,0.163076923,0,1.738461538,24.78461538
255,0.216923077,0,0,0.158461538,0.481538462,0.136923077,0.006153846,2.169230769,23.49230769
256,0.547337278,0,0,0.110946746,0.297337278,0.044378698,0,5.473372781,13.57988166
257,0.821538462,0,0,0.055384615,0.115384615,0.007692308,0,8.215384615,5.353846154
258,0.973846154,0,0,0.021538462,0.004615385,0,0,9.738461538,0.784615385
259,0.466153846,0,0,0.483076923,0.021538462,0.029230769,0,4.661538462,16.01538462
260,0.030769231,0,0,0.893846154,0.044615385,0.030769231,0,0.307692308,29.07692308
261,0.026627219,0,0,0.708579882,0.057692308,0.207100592,0,0.266272189,29.20118343
262,0.18,0,0,0.233846154,0.132307692,0.453846154,0,1.8,24.6
263,0.001538462,0,0,0.810769231,0.006153846,0.181538462,0,0.015384615,29.95384615
264,0.201538462,0,0,0.790769231,0.001538462,0.006153846,0,2.015384615,23.95384615
265,0.249230769,0,0,0.406153846,0.158461538,0.183076923,0.003076923,2.492307692,22.52307692
266,0.023668639,0,0,0.082840237,0.286982249,0.596153846,0.01035503,0.236686391,29.28994083
267,0,0,0,0.107692308,0.881538462,0.003076923,0.007692308,0,30
268,0.036923077,0,0,0.352307692,0.441538462,0.163076923,0.006153846,0.169846154,28.89230769
269,0.632307692,0,0,0.090769231,0.152307692,0.12,0.004615385,2.908615385,11.03076923
270,0.455384615,0,0,0.096923077,0.321538462,0.126153846,0,2.094769231,16.33846154
271,0.408284024,0,0,0.112426036,0.312130178,0.162721893,0.00443787,1.878106509,17.75147929
272,0.464615385,0,0,0.016923077,0.389230769,0.1,0.029230769,2.137230769,16.06153846
273,0.535384615,0,0,0.047692308,0.344615385,0.06,0.012307692,2.462769231,13.93846154
274,0.166153846,0,0,0.4,0.316923077,0.107692308,0.009230769,0.764307692,25.01538462
275,0.585798817,0,0,0.146449704,0.146449704,0.112426036,0.00887574,2.694674556,12.4260355
276,0.203076923,0,0,0.332307692,0.266153846,0.198461538,0,0.934153846,23.90769231
277,0.363076923,0,0,0.043076923,0.272307692,0.321538462,0,1.670153846,19.10769231
278,0.583076923,0,0,0.013846154,0.269230769,0.129230769,0.004615385,2.682153846,12.50769231
279,0.330769231,0,0,0.396923077,0.092307692,0.18,0,1.521538462,20.07692308
280,0.394970414,0,0,0.019230769,0.25739645,0.298816568,0.029585799,1.816863905,18.15088757
281,0.387692308,0,0,0.023076923,0.441538462,0.123076923,0.024615385,1.783384615,18.36923077
282,0.583076923,0,0,0.013846154,0.266153846,0.129230769,0.007692308,2.682153846,12.50769231
283,0.406153846,0,0,0.283076923,0.204615385,0.104615385,0.001538462,1.868307692,17.81538462
284,0.406153846,0,0,0.135384615,0.187692308,0.264615385,0.006153846,1.868307692,17.81538462
285,0.621301775,0,0,0.00295858,0.24852071,0.115384615,0.01183432,2.857988166,11.36094675
286,0.269230769,0,0,0.296923077,0.16,0.261538462,0.012307692,1.238461538,21.92307692
287,0.489230769,0,0,0.02,0.243076923,0.235384615,0.012307692,2.250461538,15.32307692
288,0.335384615,0,0,0.013846154,0.450769231,0.176923077,0.023076923,1.542769231,19.93846154
289,0.264615385,0,0,0.030769231,0.264615385,0.42,0.02,1.217230769,22.06153846
290,0.582840237,0,0,0.00147929,0.25295858,0.158284024,0.00443787,2.681065089,12.5147929
291,0.409230769,0,0,0.152307692,0.221538462,0.216923077,0,1.882461538,17.72307692
292,0.193846154,0,0,0.301538462,0.321538462,0.176923077,0.006153846,0.891692308,24.18461538
293,0.381538462,0,0,0.032307692,0.396923077,0.14,0.049230769,1.755076923,18.55384615
294,0.226331361,0,0,0.152366864,0.513313609,0.082840237,0.025147929,1.04112426,23.21005917
295,0.123076923,0,0,0.326153846,0.246153846,0.298461538,0.006153846,0.566153846,26.30769231
296,0.147692308,0,0,0.233846154,0.109230769,0.506153846,0.003076923,0.679384615,25.56923077
297,0.056923077,0,0,0.098461538,0.26,0.576923077,0.007692308,0.261846154,28.29230769
298,0.041538462,0,0,0.167692308,0.16,0.626153846,0.004615385,0.207692308,28.75384615
299,0.568047337,0,0,0.301775148,0.099112426,0.031065089,0,2.613017751,12.95857988
300,0.764615385,0,0,0.009230769,0.201538462,0.023076923,0.001538462,3.517230769,7.061538462
301,0.312307692,0,0,0.229230769,0.24,0.210769231,0.007692308,1.436615385,20.63076923
302,0.261538462,0,0,0.083076923,0.403076923,0.241538462,0.010769231,1.203076923,22.15384615
303,0.5744,0,0,0.216,0.008,0.2016,0,5.744,12.768
304,0.3456,0,0,0.3824,0.0416,0.2304,0,3.456,19.632
305,0.010769231,0,0,0.375384615,0.284615385,0.329230769,0,0.107692308,29.67692308
306,0.568,0,0,0.0576,0.0512,0.3232,0,5.68,12.96
307,0.424,0,0,0.04,0.0448,0.4912,0,4.24,17.28
308,0.0336,0,0.0064,0.0768,0.3056,0.5776,0,0.336,28.992
309,0,0,0,0.7824,0.0352,0.1824,0,0,30
310,0,0,0.289230769,0.113846154,0.209230769,0.387692308,0,0,30
311,0.0112,0,0,0.3424,0.2176,0.4288,0,0.112,29.664
312,0.1376,0,0.0048,0.3904,0.1808,0.2864,0,1.376,25.872
313,0.4464,0,0,0.3104,0.0192,0.224,0,4.464,16.608
314,0.736923077,0,0,0.16,0.067692308,0.035384615,0,7.369230769,7.892307692
315,0.4464,0,0,0.3696,0.1232,0.0608,0,4.464,16.608
316,0.7648,0,0,0.1984,0.0192,0.0176,0,7.648,7.056
317,0.344,0,0,0.3968,0.1104,0.1488,0,3.44,19.68
318,0,0,0.0032,0.3792,0.4928,0.1248,0,0,30
319,0.106153846,0,0,0.275384615,0.14,0.478461538,0,1.061538462,26.81538462
320,0.1824,0,0,0.1728,0.4416,0.2032,0,1.824,24.528
321,0.6976,0,0,0.1248,0.0496,0.128,0,6.976,9.072
322,0.9808,0,0,0.0192,0,0,0,9.808,0.576
323,0.9152,0,0,0.0784,0,0.0064,0,9.152,2.544
324,0.516923077,0,0,0.044615385,0.007692308,0.430769231,0,5.169230769,14.49230769
325,0.1952,0,0,0.0144,0.0384,0.752,0,1.952,24.144
326,0.128,0,0,0.0208,0.1248,0.7264,0,1.28,26.16
327,0.0016,0,0,0.0528,0.0416,0.904,0,0.016,29.952
328,0,0,0,0.0128,0.1376,0.8496,0,0,30
329,0.003076923,0,0,0.009230769,0.283076923,0.704615385,0,0.030769231,29.90769231
330,0,0,0,0.0016,0.32,0.6784,0,0,30
331,0,0,0,0,0.3728,0.6272,0,0,30
332,0,0,0,0.0688,0.6576,0.2736,0,0,30
333,0,0,0,0.207692308,0.718461538,0.073846154,0,0,30
334,0,0,0.0064,0.2048,0.5472,0.2416,0,0,30
335,0.008,0,0,0.0112,0.6144,0.3664,0,0.08,29.76
336,0.0624,0,0,0.3456,0.4336,0.1584,0,0.624,28.128
337,0.088,0,0,0.5824,0.1488,0.1808,0,0.88,27.36
338,0.003076923,0,0,0.403076923,0.233846154,0.36,0,0.030769231,29.90769231
339,0.0144,0,0,0.2384,0.3536,0.3936,0,0.144,29.568
340,0.0768,0,0.0064,0.1328,0.4048,0.3792,0,0.768,27.696
341,0.0128,0,0.0048,0.048,0.3856,0.5488,0,0.128,29.616
342,0,0,0.0032,0.0144,0.4784,0.504,0,0,30
343,0,0,0.001538462,0.030769231,0.329230769,0.638461538,0,0,30
344,0,0,0,0.0096,0.3536,0.6368,0,0,30
345,0,0,0.008,0.016,0.28,0.696,0,0,30
346,0,0,0.0064,0.0576,0.2288,0.7072,0,0,30
347,0,0,0.0096,0.248,0.4624,0.28,0,0,30
348,0,0,0,0.341538462,0.310769231,0.347692308,0,0,30
349,0,0,0,0.4272,0.1264,0.4464,0,0,30
350,0,0,0,0.5968,0.1728,0.2304,0,0,30
351,0,0,0,0.6336,0.2096,0.1568,0,0,30
352,0,0,0,0.536923077,0.149230769,0.313846154,0,0,30
353,0,0,0.0016,0.2512,0.6288,0.1184,0,0,30
354,0,0,0,0.1504,0.5296,0.32,0,0,30
355,0,0,0.0016,0.1472,0.6672,0.16,0.024,0,30
356,0,0,0.0016,0.064,0.7968,0.0768,0.0608,0,30
357,0,0,0.003076923,0.033846154,0.616923077,0.192307692,0.153846154,0,30
